word,meaning,source_sentence,target_sentence,input_text,target_text
Í,Tiếng thốt lên biểu thị sự ngạc nhiên.,Í mày hổng đạp vô đồ người ta rồi.,"Á, mày giẫm lên đồ người ta rồi.",Í [SEP] Tiếng thốt lên biểu thị sự ngạc nhiên. [SEP] Í mày hổng đạp vô đồ người ta rồi.,"Á, mày giẫm lên đồ người ta rồi."
Vét đĩa,"Đồ rẻ tiền, lỗi thời","Chuyện vét đĩa này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện đồ rẻ tiền này nghe lạ nhưng thật đó, tớ chứng kiến.","Vét đĩa [SEP] Đồ rẻ tiền, lỗi thời [SEP] Chuyện vét đĩa này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện đồ rẻ tiền này nghe lạ nhưng thật đó, tớ chứng kiến."
Ten Ten ben,Gỉ sét Rách nát,"Chuyện ten này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện gỉ sét này nghe lạ nhưng thật đó, tớ chứng kiến.","Ten Ten ben [SEP] Gỉ sét Rách nát [SEP] Chuyện ten này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện gỉ sét này nghe lạ nhưng thật đó, tớ chứng kiến."
Xe Huê kỳ,Ô tô Mỹ đắt tiền,"Bác Tư hay nói tới chuyện xe huê kỳ hoài, tao quen tai rồi.","Bác Tư hay nói tới chuyện ô tô mỹ đắt tiền mãi, tớ quen tai rồi.","Xe Huê kỳ [SEP] Ô tô Mỹ đắt tiền [SEP] Bác Tư hay nói tới chuyện xe huê kỳ hoài, tao quen tai rồi.","Bác Tư hay nói tới chuyện ô tô mỹ đắt tiền mãi, tớ quen tai rồi."
Nhát như thỏ đế,Hay sợ hãi,"Kêu lên hát trước lớp mà nó run lập cập, mặt tái mét nhát như thỏ đế.","Bảo lên hát trước lớp mà nó run lập cập, mặt tái mét nhát như cáy.","Nhát như thỏ đế [SEP] Hay sợ hãi [SEP] Kêu lên hát trước lớp mà nó run lập cập, mặt tái mét nhát như thỏ đế.","Bảo lên hát trước lớp mà nó run lập cập, mặt tái mét nhát như cáy."
Bật (2),"Cự nự, chống đối lại","Ông mà ép tao thì tao bật lại, chẳng ngán đâu","Ông mà ép tớ thì tớ cự lại, chẳng sợ đâu","Bật (2) [SEP] Cự nự, chống đối lại [SEP] Ông mà ép tao thì tao bật lại, chẳng ngán đâu","Ông mà ép tớ thì tớ cự lại, chẳng sợ đâu"
Nước lèo,"Nước hầm xương dùng nấu bún, hủ tiếu.",Ngày nào cũng húp ba cái nước lèo này riết cũng ngán.,Ngày nào cũng ăn thứ nước hầm xương này mãi cũng ngán.,"Nước lèo [SEP] Nước hầm xương dùng nấu bún, hủ tiếu. [SEP] Ngày nào cũng húp ba cái nước lèo này riết cũng ngán.",Ngày nào cũng ăn thứ nước hầm xương này mãi cũng ngán.
Búa đanh,Búa dùng để đóng đinh,Lấy cái búa đanh cho ba đóng cái ghế này lại coi,Để anh lấy búa đóng lại mấy cái đinh bị lỏng trên tường,Búa đanh [SEP] Búa dùng để đóng đinh [SEP] Lấy cái búa đanh cho ba đóng cái ghế này lại coi,Để anh lấy búa đóng lại mấy cái đinh bị lỏng trên tường
Huê hồng,Hoa hồng (tiền hoa hồng chiết khấu).,Đồ này tôi được hưởng huê hồng ít lắm chị ơi,Đồ này tôi được hưởng hoa hồng/chiết khấu ít lắm chị ơi,Huê hồng [SEP] Hoa hồng (tiền hoa hồng chiết khấu). [SEP] Đồ này tôi được hưởng huê hồng ít lắm chị ơi,Đồ này tôi được hưởng hoa hồng/chiết khấu ít lắm chị ơi
Dai như trâu đái,"Rất dai, kéo dài lê thê (cách nói thô tục)",cần gì phải nói dai như trâu đái vậy,cần gì phải nói dai dẳng mãi thế,"Dai như trâu đái [SEP] Rất dai, kéo dài lê thê (cách nói thô tục) [SEP] cần gì phải nói dai như trâu đái vậy",cần gì phải nói dai dẳng mãi thế
Anh Ba,"Người Hoa, cách nói Ba Tàu được lược bỏ bớt một thành tố, có ý trân trọng","Mấy anh Ba ở Chợ Lớn, buôn bán là nghề của ảnh rồi","Mấy người Hoa ở Chợ Lớn, buôn bán là nghề của anh ấy rồi","Anh Ba [SEP] Người Hoa, cách nói Ba Tàu được lược bỏ bớt một thành tố, có ý trân trọng [SEP] Mấy anh Ba ở Chợ Lớn, buôn bán là nghề của ảnh rồi","Mấy người Hoa ở Chợ Lớn, buôn bán là nghề của anh ấy rồi"
Gạt,Lừa dối hoặc gán tài sản trừ nợ hoặc dọa dẫm,"Tôi đưa bả cái tủ, gạt một triệu tôi thiếu bả",Tôi đưa cho bà ấy cái tủ để trừ vào một triệu tiền nợ,"Gạt [SEP] Lừa dối hoặc gán tài sản trừ nợ hoặc dọa dẫm [SEP] Tôi đưa bả cái tủ, gạt một triệu tôi thiếu bả",Tôi đưa cho bà ấy cái tủ để trừ vào một triệu tiền nợ
Ống đót,Đoạn tẩu ngắn ngậm thuốc lá.,Lấy cho ba cái ống đót,Lấy cho bố cái đót ngậm thuốc,Ống đót [SEP] Đoạn tẩu ngắn ngậm thuốc lá. [SEP] Lấy cho ba cái ống đót,Lấy cho bố cái đót ngậm thuốc
Cứng ngắc,"Vô cùng cứng, đông kết lại không thể thay đổi","Xi măng nó chết cứng ngắc rồi, còn làm gì được nữa","Vữa xi măng nó đã khô và đông cứng ngắc lại rồi, bây giờ không thể thi công làm gì được nữa","Cứng ngắc [SEP] Vô cùng cứng, đông kết lại không thể thay đổi [SEP] Xi măng nó chết cứng ngắc rồi, còn làm gì được nữa","Vữa xi măng nó đã khô và đông cứng ngắc lại rồi, bây giờ không thể thi công làm gì được nữa"
Quát tước,To tiếng rầy la,Tụi bây thấy quát tước không? Tao thấy từ hồi nãy rồi.,Các bạn thấy to tiếng rầy la không? Tớ thấy từ nãy rồi.,Quát tước [SEP] To tiếng rầy la [SEP] Tụi bây thấy quát tước không? Tao thấy từ hồi nãy rồi.,Các bạn thấy to tiếng rầy la không? Tớ thấy từ nãy rồi.
Cà tưng,Nhảy cẫng lên nhiều lần để biểu thị vui mừng tột độ,Mày làm gì cà tưng như thằng bị kinh phong giựt vậy chớ?,Cậu làm cái gì mà cứ nhảy cẫng lên như thế kia?,Cà tưng [SEP] Nhảy cẫng lên nhiều lần để biểu thị vui mừng tột độ [SEP] Mày làm gì cà tưng như thằng bị kinh phong giựt vậy chớ?,Cậu làm cái gì mà cứ nhảy cẫng lên như thế kia?
Hộ mạng,"Hộ mệnh, bảo vệ gìn giữ tính mạng an toàn.","Mỗi người có một vị thần hộ mạng hơi sức đâu mà lo, anh ơi.","Mỗi người có một vị thần hộ mệnh, hơi sức đâu mà lo lắng, anh ơi.","Hộ mạng [SEP] Hộ mệnh, bảo vệ gìn giữ tính mạng an toàn. [SEP] Mỗi người có một vị thần hộ mạng hơi sức đâu mà lo, anh ơi.","Mỗi người có một vị thần hộ mệnh, hơi sức đâu mà lo lắng, anh ơi."
Dẹp tiệm,"Đóng cửa hàng Ngừng công việc Thất bại, phá sản, trắng tay",Làm ăn cái kiểu này hồng sớm thì muộn cũng có ngày dẹp tiệm thôi,Làm ăn kiểu này thì sớm muộn gì cũng phá sản thôi,"Dẹp tiệm [SEP] Đóng cửa hàng Ngừng công việc Thất bại, phá sản, trắng tay [SEP] Làm ăn cái kiểu này hồng sớm thì muộn cũng có ngày dẹp tiệm thôi",Làm ăn kiểu này thì sớm muộn gì cũng phá sản thôi
Cốt (3),Tiếng cu khi chim cu gáy,- Đó nó gáy đủ bốn cốt Loại cu nào nhiều cốt thì được cu mái say mê,Đó nó gáy đủ bốn tiếng 'cu' Chim cu gáy càng dài thì càng thu hút chim mái,Cốt (3) [SEP] Tiếng cu khi chim cu gáy [SEP] - Đó nó gáy đủ bốn cốt Loại cu nào nhiều cốt thì được cu mái say mê,Đó nó gáy đủ bốn tiếng 'cu' Chim cu gáy càng dài thì càng thu hút chim mái
Trái cổ,Yết hầu,Nhìn cái trái cổ là biết đàn ông rồi.,Nhìn cái yết hầu là biết đàn ông rồi.,Trái cổ [SEP] Yết hầu [SEP] Nhìn cái trái cổ là biết đàn ông rồi.,Nhìn cái yết hầu là biết đàn ông rồi.
Xấu háy,Tên xấu để dễ nuôi,"Chú Bảy hay nói tới chuyện xấu háy hoài, tao quen tai rồi.","Chú Bảy hay nói tới chuyện tên xấu để dễ nuôi mãi, tớ quen tai rồi.","Xấu háy [SEP] Tên xấu để dễ nuôi [SEP] Chú Bảy hay nói tới chuyện xấu háy hoài, tao quen tai rồi.","Chú Bảy hay nói tới chuyện tên xấu để dễ nuôi mãi, tớ quen tai rồi."
Hoá,"Cầm cố Doãng ra, nản chí Liên tục.",Có cái xe làm chân nó cũng hoá để lấy tiền đánh bài thua hết,Có chiếc xe đi lại cậu ta cũng đem đi cầm đồ để nướng sạch vào sới bạc.,"Hoá [SEP] Cầm cố Doãng ra, nản chí Liên tục. [SEP] Có cái xe làm chân nó cũng hoá để lấy tiền đánh bài thua hết",Có chiếc xe đi lại cậu ta cũng đem đi cầm đồ để nướng sạch vào sới bạc.
Làng xàng,"Làng nhàng, sơ sài ngang bằng, xêm xêm nhau.","Học làng xàng cái kiểu này, thi làm sao đậu","Học làng nhàng cái kiểu này, thi làm sao đỗ","Làng xàng [SEP] Làng nhàng, sơ sài ngang bằng, xêm xêm nhau. [SEP] Học làng xàng cái kiểu này, thi làm sao đậu","Học làng nhàng cái kiểu này, thi làm sao đỗ"
Cổ trầu,Bã trầu và nước trầu đỏ nhổ ra,"Mấy bà già trầu có tật ăn trầu, phun cổ trầu phèn phẹt đỏ cả một góc nhà thấy mà ghê","Mấy cụ bà có tật ăn trầu, nhổ toẹt nước bã trầu đỏ loét cả một góc nhà trông sợ quá","Cổ trầu [SEP] Bã trầu và nước trầu đỏ nhổ ra [SEP] Mấy bà già trầu có tật ăn trầu, phun cổ trầu phèn phẹt đỏ cả một góc nhà thấy mà ghê","Mấy cụ bà có tật ăn trầu, nhổ toẹt nước bã trầu đỏ loét cả một góc nhà trông sợ quá"
Quay mòng mòng,Quay gây chóng mặt,"Cái kiểu quay mòng mòng đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu quay gây chóng mặt đó quen lắm rồi, ai ở đây cũng biết.","Quay mòng mòng [SEP] Quay gây chóng mặt [SEP] Cái kiểu quay mòng mòng đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu quay gây chóng mặt đó quen lắm rồi, ai ở đây cũng biết."
Trét chai,Bịt khe hở bằng nhựa chai,"Chú Ba giải thích cho tụi nhỏ nghe về trét chai, tụi nhỏ gật gù.","Chú Ba giải thích cho bọn nhỏ nghe về bịt khe hở bằng nhựa chai, bọn nhỏ gật gù.","Trét chai [SEP] Bịt khe hở bằng nhựa chai [SEP] Chú Ba giải thích cho tụi nhỏ nghe về trét chai, tụi nhỏ gật gù.","Chú Ba giải thích cho bọn nhỏ nghe về bịt khe hở bằng nhựa chai, bọn nhỏ gật gù."
Sôi tiêm bọt oáp,Cá lội sủi tăm sùi bọt mép,"Chuyện sôi tiêm này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện cá lội sủi tăm; sùi bọt mép này nghe lạ nhưng thật đó, tớ chứng kiến.","Sôi tiêm bọt oáp [SEP] Cá lội sủi tăm sùi bọt mép [SEP] Chuyện sôi tiêm này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện cá lội sủi tăm; sùi bọt mép này nghe lạ nhưng thật đó, tớ chứng kiến."
Ngồi đồng,Ngồi lỳ một chỗ,Hai bà rảnh rỗi quá hay sao mà ra quán cà phê ngồi đồng cả buổi chiều.,Hai bà rảnh rỗi quá hay sao mà ra quán cà phê ngồi lỳ cả buổi chiều.,Ngồi đồng [SEP] Ngồi lỳ một chỗ [SEP] Hai bà rảnh rỗi quá hay sao mà ra quán cà phê ngồi đồng cả buổi chiều.,Hai bà rảnh rỗi quá hay sao mà ra quán cà phê ngồi lỳ cả buổi chiều.
Ấy 2,Khẳng định điều trước đó (Đúng thế).,"Ấy, cứ để nó làm coi đã.","Đúng thế, cứ để nó làm coi đã.","Ấy 2 [SEP] Khẳng định điều trước đó (Đúng thế). [SEP] Ấy, cứ để nó làm coi đã.","Đúng thế, cứ để nó làm coi đã."
Mặt,"Bên phải, rẽ phải.","Chị đi thẳng tới đó, quẹo mặt nữa là tới.","Chị đi thẳng tới đó, rẽ phải nữa là tới.","Mặt [SEP] Bên phải, rẽ phải. [SEP] Chị đi thẳng tới đó, quẹo mặt nữa là tới.","Chị đi thẳng tới đó, rẽ phải nữa là tới."
Quá mạng,"Rất nhiều, quá mức sức chịu đựng","Bác Tư mua về quá mạng, ăn không hết mà cũng không bỏ.","Bác Tư mua về rất nhiều, ăn không hết mà cũng không bỏ.","Quá mạng [SEP] Rất nhiều, quá mức sức chịu đựng [SEP] Bác Tư mua về quá mạng, ăn không hết mà cũng không bỏ.","Bác Tư mua về rất nhiều, ăn không hết mà cũng không bỏ."
Lầu hai,"Tầng 3 Tầng 2. (Ở miền Nam, tầng trệt tầng 1, lầu 1 tầng 2).",Anh ở lầu hai là ném về tầng ba rồi còn gì nữa.,Anh ở lầu hai (tầng 3) là cao rồi còn gì nữa.,"Lầu hai [SEP] Tầng 3 Tầng 2. (Ở miền Nam, tầng trệt tầng 1, lầu 1 tầng 2). [SEP] Anh ở lầu hai là ném về tầng ba rồi còn gì nữa.",Anh ở lầu hai (tầng 3) là cao rồi còn gì nữa.
Chửi trống,"Chửi đổng, chửi nói vọng ra không chỉ đích danh","Chửi ai thì chửi có người, chớ chửi trống là không được nghen em","Chửi ai thì chửi thẳng tên người đó, chứ cứ chửi đổng bâng quơ là không được đâu nhé em","Chửi trống [SEP] Chửi đổng, chửi nói vọng ra không chỉ đích danh [SEP] Chửi ai thì chửi có người, chớ chửi trống là không được nghen em","Chửi ai thì chửi thẳng tên người đó, chứ cứ chửi đổng bâng quơ là không được đâu nhé em"
Dĩa,Đĩa (vật dụng đựng thức ăn hoặc vật hình tròn dẹt),Thờ mình đĩa muối đĩa rau,Cúng mình đĩa muối và đĩa rau,Dĩa [SEP] Đĩa (vật dụng đựng thức ăn hoặc vật hình tròn dẹt) [SEP] Thờ mình đĩa muối đĩa rau,Cúng mình đĩa muối và đĩa rau
Lớn cớn,"1. Lợn cợn, có cặn, hạt li ti trong nước.2. Vướng mắc, chưa thông suốt trong lòng.",Hình như ổng còn lớn cớn điều gì mà không tiện nói ra,Hình như ông ấy còn lấn cấn điều gì mà không tiện nói ra,"Lớn cớn [SEP] 1. Lợn cợn, có cặn, hạt li ti trong nước.2. Vướng mắc, chưa thông suốt trong lòng. [SEP] Hình như ổng còn lớn cớn điều gì mà không tiện nói ra",Hình như ông ấy còn lấn cấn điều gì mà không tiện nói ra
Khiếp đảm,"Sợ đến mức mất hồn vía, kinh hoàng",Bà La Sát hét một tiếng nghe khiếp đảm.,Bà La Sát hét một tiếng nghe rợn người.,"Khiếp đảm [SEP] Sợ đến mức mất hồn vía, kinh hoàng [SEP] Bà La Sát hét một tiếng nghe khiếp đảm.",Bà La Sát hét một tiếng nghe rợn người.
Nứng,"Kích thích tính dục mạnh (Từ tục, tiếng lóng mắng chửi).","Xem ba cái phim tầm bậy, đầy rồi nứng mà làm bậy",Xem ba bộ phim linh tinh rồi sinh ra ham muốn làm bậy,"Nứng [SEP] Kích thích tính dục mạnh (Từ tục, tiếng lóng mắng chửi). [SEP] Xem ba cái phim tầm bậy, đầy rồi nứng mà làm bậy",Xem ba bộ phim linh tinh rồi sinh ra ham muốn làm bậy
Lót,"1. Lát gạch, lát đường.2. Tã lót cho trẻ sơ sinh.",Lấy cho mẹ miếng lót mẹ thay cho em coi con.,Lấy cho mẹ cái tã để mẹ thay cho em xem nào con.,"Lót [SEP] 1. Lát gạch, lát đường.2. Tã lót cho trẻ sơ sinh. [SEP] Lấy cho mẹ miếng lót mẹ thay cho em coi con.",Lấy cho mẹ cái tã để mẹ thay cho em xem nào con.
Ngồi lỳ,Ngồi lỳ một chỗ,Dịch bệnh nên tao đành ngồi lỳ trong phòng nguyên một tuần ròng rã.,Dịch bệnh nên tao đành cắm rễ trong phòng nguyên một tuần ròng rã.,Ngồi lỳ [SEP] Ngồi lỳ một chỗ [SEP] Dịch bệnh nên tao đành ngồi lỳ trong phòng nguyên một tuần ròng rã.,Dịch bệnh nên tao đành cắm rễ trong phòng nguyên một tuần ròng rã.
Bà sơ Bà sở bà sơ,"Rất xa xưa, mẹ của ông bà cố","Thời bà sở bà sơ lận, ai mà biết","Từ cái thời xa lắc xa lơ, ai mà biết","Bà sơ Bà sở bà sơ [SEP] Rất xa xưa, mẹ của ông bà cố [SEP] Thời bà sở bà sơ lận, ai mà biết","Từ cái thời xa lắc xa lơ, ai mà biết"
Ngồi tém tẻ,"Ngồi phè phỡn, dang tay chân ra ngồi đánh bạc ngồi khép nép gọn gàng.","Ông cười, ngồi tém tẻ","Ông cười, ngồi khép nép","Ngồi tém tẻ [SEP] Ngồi phè phỡn, dang tay chân ra ngồi đánh bạc ngồi khép nép gọn gàng. [SEP] Ông cười, ngồi tém tẻ","Ông cười, ngồi khép nép"
Tẩn mẩn,"Nhỏ nhặt, vụn vặt","Hổm rày thằng đó cứ tẩn mẩn hoài, có chuyện gì vậy?","Dạo này anh ta cứ nhỏ nhặt mãi, có chuyện gì vậy?","Tẩn mẩn [SEP] Nhỏ nhặt, vụn vặt [SEP] Hổm rày thằng đó cứ tẩn mẩn hoài, có chuyện gì vậy?","Dạo này anh ta cứ nhỏ nhặt mãi, có chuyện gì vậy?"
